简体	越南
骑兵发动急袭，对敌方单个武将造成228%的伤害	Kỵ Binh phát động cấp tập, gây 228% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成232%的伤害	Kỵ Binh phát động cấp tập, gây 232% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成236%的伤害	Kỵ Binh phát động cấp tập, gây 236% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成240%的伤害	Kỵ Binh phát động cấp tập, gây 240% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成244%的伤害	Kỵ Binh phát động cấp tập, gây 244% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成248%的伤害	Kỵ Binh phát động cấp tập, gây 248% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成252%的伤害	Kỵ Binh phát động cấp tập, gây 252% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成256%的伤害	Kỵ Binh phát động cấp tập, gây 256% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成260%的伤害	Kỵ Binh phát động cấp tập, gây 260% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成264%的伤害	Kỵ Binh phát động cấp tập, gây 264% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成268%的伤害	Kỵ Binh phát động cấp tập, gây 268% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成272%的伤害	Kỵ Binh phát động cấp tập, gây 272% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成276%的伤害	Kỵ Binh phát động cấp tập, gây 276% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成280%的伤害	Kỵ Binh phát động cấp tập, gây 280% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成284%的伤害	Kỵ Binh phát động cấp tập, gây 284% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成288%的伤害	Kỵ Binh phát động cấp tập, gây 288% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成292%的伤害	Kỵ Binh phát động cấp tập, gây 292% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成296%的伤害	Kỵ Binh phát động cấp tập, gây 296% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成300%的伤害	Kỵ Binh phát động cấp tập, gây 300% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成304%的伤害	Kỵ Binh phát động cấp tập, gây 304% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成308%的伤害	Kỵ Binh phát động cấp tập, gây 308% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成312%的伤害	Kỵ Binh phát động cấp tập, gây 312% sát thương lên 1 kẻ địch
骑兵发动急袭，对敌方单个武将造成316%的伤害	Kỵ Binh phát động cấp tập, gây 316% sát thương lên 1 kẻ địch
永久提高骑兵50点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 50 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵100点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 100 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵150点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 150 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵200点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 200 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵250点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 250 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵300点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 300 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵350点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 350 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵400点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 400 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵450点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 450 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵500点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 500 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵550点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 550 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵600点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 600 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵650点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 650 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵700点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 700 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵750点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 750 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵800点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 800 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵850点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 850 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵900点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 900 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵950点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 950 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1000点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1000 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1050点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1050 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1100点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1100 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1150点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1150 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1200点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1200 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1250点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1250 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1300点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1300 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1350点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1350 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1400点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1400 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1450点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1450 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1500点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1500 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1550点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1550 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1600点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1600 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1650点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1650 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1700点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1700 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1750点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1750 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1800点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1800 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1850点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1850 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1900点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1900 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵1950点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 1950 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2000点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2000 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2050点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2050 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2100点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2100 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2150点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2150 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2200点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2200 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2250点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2250 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2300点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2300 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2350点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2350 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2400点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2400 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2450点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2450 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
永久提高骑兵2500点破招，破招可降低敌方格挡几率	Tăng Kỵ Binh 2500 điểm Phá Chiêu, phá chiêu có thể làm giảm tỉ lệ đỡ của địch
下一级：永久提高骑兵100点破招	Cấp sau: Tăng Kỵ Binh 100 điểm Phá Chiêu
下一级：永久提高骑兵150点破招	Cấp sau: Tăng Kỵ Binh 150 điểm Phá Chiêu
下一级：永久提高骑兵200点破招	Cấp sau: Tăng Kỵ Binh 200 điểm Phá Chiêu
下一级：永久提高骑兵250点破招	Cấp sau: Tăng Kỵ Binh 250 điểm Phá Chiêu
下一级：永久提高骑兵300点破招	Cấp sau: Tăng Kỵ Binh 300 điểm Phá Chiêu
下一级：永久提高骑兵350点破招	Cấp sau: Tăng Kỵ Binh 350 điểm Phá Chiêu
下一级：永久提高骑兵400点破招	Cấp sau: Tăng Kỵ Binh 400 điểm Phá Chiêu
下一级：永久提高骑兵450点破招	Cấp sau: Tăng Kỵ Binh 450 điểm Phá Chiêu
下一级：永久提高骑兵500点破招	Cấp sau: Tăng Kỵ Binh 500 điểm Phá Chiêu
下一级：永久提高骑兵550点破招	Cấp sau: Tăng Kỵ Binh 550 điểm Phá Chiêu
下一级：永久提高骑兵600点破招	Cấp sau: Tăng Kỵ Binh 600 điểm Phá Chiêu
下一级：永久提高骑兵650点破招	Cấp sau: Tăng Kỵ Binh 650 điểm Phá Chiêu
下一级：永久提高骑兵700点破招	Cấp sau: Tăng Kỵ Binh 700 điểm Phá Chiêu
下一级：永久提高骑兵750点破招	Cấp sau: Tăng Kỵ Binh 750 điểm Phá Chiêu
下一级：永久提高骑兵800点破招	Cấp sau: Tăng Kỵ Binh 800 điểm Phá Chiêu
下一级：永久提高骑兵850点破招	Cấp sau: Tăng Kỵ Binh 850 điểm Phá Chiêu
下一级：永久提高骑兵900点破招	Cấp sau: Tăng Kỵ Binh 900 điểm Phá Chiêu
下一级：永久提高骑兵950点破招	Cấp sau: Tăng Kỵ Binh 950 điểm Phá Chiêu
下一级：永久提高骑兵1000点破招	Cấp sau: Tăng Kỵ Binh 1000 điểm Phá Chiêu
下一级：永久提高骑兵1050点破招	Cấp sau: Tăng Kỵ Binh 1050 điểm Phá Chiêu
下一级：永久提高骑兵1100点破招	Cấp sau: Tăng Kỵ Binh 1100 điểm Phá Chiêu
下一级：永久提高骑兵1150点破招	Cấp sau: Tăng Kỵ Binh 1150 điểm Phá Chiêu
下一级：永久提高骑兵1200点破招	Cấp sau: Tăng Kỵ Binh 1200 điểm Phá Chiêu
下一级：永久提高骑兵1250点破招	Cấp sau: Tăng Kỵ Binh 1250 điểm Phá Chiêu
下一级：永久提高骑兵1300点破招	Cấp sau: Tăng Kỵ Binh 1300 điểm Phá Chiêu
下一级：永久提高骑兵1350点破招	Cấp sau: Tăng Kỵ Binh 1350 điểm Phá Chiêu
下一级：永久提高骑兵1400点破招	Cấp sau: Tăng Kỵ Binh 1400 điểm Phá Chiêu
下一级：永久提高骑兵1450点破招	Cấp sau: Tăng Kỵ Binh 1450 điểm Phá Chiêu
下一级：永久提高骑兵1500点破招	Cấp sau: Tăng Kỵ Binh 1500 điểm Phá Chiêu
下一级：永久提高骑兵1550点破招	Cấp sau: Tăng Kỵ Binh 1550 điểm Phá Chiêu
下一级：永久提高骑兵1600点破招	Cấp sau: Tăng Kỵ Binh 1600 điểm Phá Chiêu
下一级：永久提高骑兵1650点破招	Cấp sau: Tăng Kỵ Binh 1650 điểm Phá Chiêu
下一级：永久提高骑兵1700点破招	Cấp sau: Tăng Kỵ Binh 1700 điểm Phá Chiêu
下一级：永久提高骑兵1750点破招	Cấp sau: Tăng Kỵ Binh 1750 điểm Phá Chiêu
下一级：永久提高骑兵1800点破招	Cấp sau: Tăng Kỵ Binh 1800 điểm Phá Chiêu
下一级：永久提高骑兵1850点破招	Cấp sau: Tăng Kỵ Binh 1850 điểm Phá Chiêu
下一级：永久提高骑兵1900点破招	Cấp sau: Tăng Kỵ Binh 1900 điểm Phá Chiêu
下一级：永久提高骑兵1950点破招	Cấp sau: Tăng Kỵ Binh 1950 điểm Phá Chiêu
下一级：永久提高骑兵2000点破招	Cấp sau: Tăng Kỵ Binh 2000 điểm Phá Chiêu
下一级：永久提高骑兵2050点破招	Cấp sau: Tăng Kỵ Binh 2050 điểm Phá Chiêu
下一级：永久提高骑兵2100点破招	Cấp sau: Tăng Kỵ Binh 2100 điểm Phá Chiêu
下一级：永久提高骑兵2150点破招	Cấp sau: Tăng Kỵ Binh 2150 điểm Phá Chiêu
下一级：永久提高骑兵2200点破招	Cấp sau: Tăng Kỵ Binh 2200 điểm Phá Chiêu
下一级：永久提高骑兵2250点破招	Cấp sau: Tăng Kỵ Binh 2250 điểm Phá Chiêu
下一级：永久提高骑兵2300点破招	Cấp sau: Tăng Kỵ Binh 2300 điểm Phá Chiêu
下一级：永久提高骑兵2350点破招	Cấp sau: Tăng Kỵ Binh 2350 điểm Phá Chiêu
下一级：永久提高骑兵2400点破招	Cấp sau: Tăng Kỵ Binh 2400 điểm Phá Chiêu
下一级：永久提高骑兵2450点破招	Cấp sau: Tăng Kỵ Binh 2450 điểm Phá Chiêu
下一级：永久提高骑兵2500点破招	Cấp sau: Tăng Kỵ Binh 2500 điểm Phá Chiêu
对纵向所有目标造成70%的伤害，最多可对三个武将造成伤害	Gây 70% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成72%的伤害，最多可对三个武将造成伤害	Gây 72% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成74%的伤害，最多可对三个武将造成伤害	Gây 74% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成76%的伤害，最多可对三个武将造成伤害	Gây 76% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成78%的伤害，最多可对三个武将造成伤害	Gây 78% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成80%的伤害，最多可对三个武将造成伤害	Gây 80% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成82%的伤害，最多可对三个武将造成伤害	Gây 82% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成84%的伤害，最多可对三个武将造成伤害	Gây 84% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成86%的伤害，最多可对三个武将造成伤害	Gây 86% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成88%的伤害，最多可对三个武将造成伤害	Gây 88% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成90%的伤害，最多可对三个武将造成伤害	Gây 90% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成92%的伤害，最多可对三个武将造成伤害	Gây 92% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成94%的伤害，最多可对三个武将造成伤害	Gây 94% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成96%的伤害，最多可对三个武将造成伤害	Gây 96% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成98%的伤害，最多可对三个武将造成伤害	Gây 98% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成100%的伤害，最多可对三个武将造成伤害	Gây 100% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成102%的伤害，最多可对三个武将造成伤害	Gây 102% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成104%的伤害，最多可对三个武将造成伤害	Gây 104% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成106%的伤害，最多可对三个武将造成伤害	Gây 106% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成108%的伤害，最多可对三个武将造成伤害	Gây 108% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成110%的伤害，最多可对三个武将造成伤害	Gây 110% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成112%的伤害，最多可对三个武将造成伤害	Gây 112% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成114%的伤害，最多可对三个武将造成伤害	Gây 114% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成116%的伤害，最多可对三个武将造成伤害	Gây 116% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成118%的伤害，最多可对三个武将造成伤害	Gây 118% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成120%的伤害，最多可对三个武将造成伤害	Gây 120% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成122%的伤害，最多可对三个武将造成伤害	Gây 122% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成124%的伤害，最多可对三个武将造成伤害	Gây 124% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成126%的伤害，最多可对三个武将造成伤害	Gây 126% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成128%的伤害，最多可对三个武将造成伤害	Gây 128% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成130%的伤害，最多可对三个武将造成伤害	Gây 130% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成132%的伤害，最多可对三个武将造成伤害	Gây 132% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成134%的伤害，最多可对三个武将造成伤害	Gây 134% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成136%的伤害，最多可对三个武将造成伤害	Gây 136% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成138%的伤害，最多可对三个武将造成伤害	Gây 138% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成140%的伤害，最多可对三个武将造成伤害	Gây 140% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成142%的伤害，最多可对三个武将造成伤害	Gây 142% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成144%的伤害，最多可对三个武将造成伤害	Gây 144% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成146%的伤害，最多可对三个武将造成伤害	Gây 146% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成148%的伤害，最多可对三个武将造成伤害	Gây 148% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成150%的伤害，最多可对三个武将造成伤害	Gây 150% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成152%的伤害，最多可对三个武将造成伤害	Gây 152% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成154%的伤害，最多可对三个武将造成伤害	Gây 154% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成156%的伤害，最多可对三个武将造成伤害	Gây 156% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成158%的伤害，最多可对三个武将造成伤害	Gây 158% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成160%的伤害，最多可对三个武将造成伤害	Gây 160% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成162%的伤害，最多可对三个武将造成伤害	Gây 162% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成164%的伤害，最多可对三个武将造成伤害	Gây 164% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成166%的伤害，最多可对三个武将造成伤害	Gây 166% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
对纵向所有目标造成168%的伤害，最多可对三个武将造成伤害	Gây 168% sát thương lên mục tiêu nằm dọc, nhiều nhất có thể gây sát thương lên 3 Võ Tướng
永久提高骑兵50点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 50 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵100点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 100 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵150点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 150 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵200点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 200 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵250点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 250 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵300点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 300 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵350点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 350 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵400点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 400 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵450点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 450 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵500点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 500 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵550点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 550 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵600点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 600 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵650点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 650 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵700点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 700 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵750点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 750 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵800点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 800 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵850点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 850 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵900点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 900 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵950点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 950 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1000点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1000 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1050点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1050 điểm Né Tránh, né tránh có thể né được công kích của địch
