关键字	简体	越南
E_STR_OPEN_BOX_INFO	开启%d个%s需要%d个%s，您是否开启？	Mở %d cái %s cần %d cái %s, ngươi đồng ý mở ?
E_STR_OPEN_BOX_KEY_ENOUGH	您只有%d把%s，还差%d把。当背包中没有%s时，点击使用%s可购买%s。	Bạn chỉ có %d cái %s, còn thiếu %d cái %s. Khi trong túi không có %s, ấn sử dụng %s có thể mua %s.
E_STR_SOLICIT_SURE_RED	本次招募必出血將	Lần chiêu mộ này sẽ ra Huyết Tướng 
E_STR_SOLICIT_REMAIN_RED	再招%d次必出血將	Chiêu thêm %d lần chắc chắn ra Huyết Tướng
E_STR_NEED_KEY	需要%d把%s，是否前去购买？	Cần %d cái %s, đi mua ?
E_STR_ROLE_CANNOT_KILL	已召唤的武将被解雇后方可分解	Có thể phân giải Võ Tướng bị sa thải
E_SOUL_NUM_1	%d	%d
E_SOUL_NUM_2	/%d	/%d
E_STR_GEM_NOT_ENOUGH_BUSINESS	所需%s不足，是否前往镖局。	%s không đủ, đi tiêu cục.
E_STR_PAWN_WAR_INFO	战斗获胜可获得敌人所携带的物品	Chiến thắng có thể nhận được các vật phẩm của địch
E_STR_PAWN_BUSINESS_INFO	若选择“放弃”，则不会获得，也不会损失	Nếu chọn “từ bỏ”, thì sẽ không nhận được, cũng sẽ không tổn thất
E_STR_BAG_PROTECTEDNUM	已达到背包保护上限	Túi đã đạt đến giới hạn bảo vệ
E_STR_PLEASE_RE_UPDATE	更新失败，请重新更新	Cập nhật thất bại, hãy cập nhật lại
E_STR_FIGHT_ADVANCE	战力提升	Nâng cao lực chiến
E_STR_ORANGE_NOT_BLUE	橙将不能传承蓝将	Kim Tướng không thể truyền thừa Lam Tướng 
E_STR_ORANGE_NOT_PURPLE	橙将不能传承紫将	Kim Tướng không thể truyền thừa Tử Tướng 
E_STR_RED_NOT_BLUE	血将不能传承蓝将	Huyết Tướng không thể truyền thừa Lam Tướng 
E_STR_RED_NOT_PURPLE	血将不能传承紫将	Huyết Tướng không thể truyền thừa Tử Tướng 
confirm_split	当前武将中有血将，你是否需要全部拆解？	Có Huyết Tướng, ngươi đồng ý bỏ tất cả ?
E_STR_ALLROLE_health	全体上阵武将兵力增加%d	Binh Lực toàn thể Võ Tướng xuất trận tăng %d
E_STR_UPDATE_TARGET_VERSION	更新目标版本%s	Cập nhật phiên bản %s
E_STR_UPDATE_TARGET_VOLUME_BYTE	更新档案大小%d Bytes	Cập nhật %d Bytes
E_STR_UPDATE_TARGET_VOLUME_KB	更新档案大小%.1f KB	Cập nhật %.1f KB
E_STR_UPDATE_TARGET_VOLUME_MB	更新档案大小%.1f MB	Cập nhật %.1f MB
E_STR_TOKEN_ERROR	链接超时，请重新登录	Lỗi liên kết, hãy đăng nhập lại
E_STR_CDKEY_NOT_EXIST	礼包码不正确，请重新输入	Mã Giftcode không chính xác, hãy nhập lại
E_STR_CDKEY_USED	礼包码已被使用，请重新输入	Mã Giftcode đã được sử dụng, hãy nhập lại
E_STR_PROTECT_END	今日追兵已被消灭	Hôm nay truy binh đã bị tiêu diệt
E_STR_DAO_ATTR_ADD	刀兵属性加成	Thêm vào thuộc tính Đao Binh 
E_STR_QIANG_ATTR_ADD	枪兵属性加成	Thêm vào thuộc tính Thương Binh
E_STR_QI_ATTR_ADD	骑兵属性加成	Thêm vào thuộc tính Kỵ Binh
E_STR_MO_ATTR_ADD	谋士属性加成	Thêm vào thuộc tính Mưu Sĩ 
E_STR_HONG_ATTR_ADD	红颜属性加成	Thêm vào thuộc tính Vũ Cơ 
E_STR_GEM_OPEN_LV	强化%d级开启	Cường hóa cấp %d mở
E_STR_FOSTER_COMBINE	培养丹合成	Ghép Linh Đan 
E_STR_TIPS_SELECT_A_CARD	请选择一张卡牌	Hãy chọn 1 tấm thẻ
E_STR_TIPS_FREE_COUNT_REFRESH_CARDS	本次换牌免费	Lần đổi bài này miễn phí
E_STR_SKILL_OPEN_LV	%d级开启	Cấp %d mở
E_STR_YOUR_GAIN_CASH	你获得了%d元宝	Bạn nhận được %d KNB
transfer_card_need	(卡)	(thẻ)
E_STR_SHOP_CONFIRM_BUY_TITLE	确认购买	Mua
E_STR_SHOP_CONFIRM_SELL_TITLE	确认出售	Bán
E_STR_SHOP_CONFIRM_SOUL_TITLE	确认化魂	Hóa Hồn
E_STR_SHOP_CONFIRM_USE_TITLE	确认使用	Sử Dụng
E_STR_SELECT_ROLE	选择武将	Chọn Võ Tướng 
E_STR_SELECT_EQUIP	选择装备	Chọn
E_STR_SELECT_MATERIAL	素材兑换	Đổi vật liệu
E_STR_SELECT_ROB	掠夺	Cướp 
E_STR_TODAY_GOLD_TIMES	今日可免费占领或掠夺金矿次数	Số lần chiếm/cướp hôm nay còn:
E_STR_GIRL_OPEN_LIMIT	通关“兖州”副本后开启	Sau khi thông quan Phụ Bản “Duyện Châu” mở 
E_STR_ACTIVITY_UNLOCK_DESC	%d级解锁	Cấp %d mở khóa
hero_altar	英雄祭坛	Anh Hùng Tế Đàn
no_limit	无限制	Không giới hạn
E_STR_CDKEY_INFO	请输入兑换码	Hãy nhập Giftcode
level	级	Cấp
E_STR_GETROLEOPENLELVEL	招贤馆%d级解锁	Tửu Quán cấp %d mở khóa 
E_STR_STRENGTH_OPENLEVEL	强化%d级解锁	Cường hóa cấp %d mở khóa
E_STR_THOUSANDFLOOR_DEC	突破%d层之后将开启扫荡，可快速上塔	Sau khi đột phá %d tầng sẽ mở càn quét, có thể lên tháp nhanh chóng
E_STR_UNLOCK_STAGE	请先解锁此关卡！	Hãy mở khóa quan ải này trước !
E_STR_BUG	BUG反馈及建议	Đề nghị và phản hồi BUG
E_STR_SYSTEM	系统设置	Liên hệ
E_STR_FEEDBACK_SENT	反馈已发送！	Phản hồi đã gửi đi !
E_STR_NOT_ENOUGH_ROLE_CARD_IN_BAG	背包武将卡不足！	Túi thẻ Võ Tướng không đủ !
E_STR_VIP_OPEN_LEVEL	VIP%d开启！	VIP %d mở !
LS_PRO_BUYFOOD	购买粮草次数	Số lần mua Lúa 
LS_PRO_OPENTRAINSEAT	开启训练位	Mở huấn luyện
LS_PRO_MAKEEQUIPADD	打造装备成功率	Tỉ lệ thành luyện trang bị 
LS_PRO_MINE_TAKE	购买占领金矿次数	Mua số lần chiếm Ngân Khoáng 
LS_PRO_ARENA_TAKE	购买擂台挑战次数	Mua số lần khiêu chiến Lôi Đài 
LS_PRO_TOWER_RESET	购买充值重楼次数	Mua số lần làm mới Thiên Trọng Lâu
LS_PRO_SYNSIS	技能书合成次数	Số lần ghép sách kỹ năng
LS_PRO_BUSINESS_STEP	商社行动能力上限	Khả năng đi lại thương xã tối đa
LS_PRO_CASH_APPEND	再充值%d元宝可升级至	Nạp thêm %d KNB có thể tăng đến cấp 
LS_PRO_PREVILEGE	VIP%d	VIP %d
LS_PRO_FULI	每日特购	Mua đặc biệt hằng ngày
LS_RMB_SYM	￥%d	%d VND
LS_NOT_OPEN_YET	未开启	Chưa mở
LS_BOUGHT_ALREADY	已经购买	Đã mua
LS_BOUGHT_ERROR	购买VIP道具失败	Mua vật phẩm VIP thất bại 
LS_BOUGHT_DONE	购买成功！	Mua thành công !
E_STR_GODROLE_GO_TO_FIGHT	前往征战	Tiến lên chinh chiến
E_STR_GET_GOD_ROLE	获得吕布	Nhận được Lữ Bố
E_STR_GET_GOD_DEC	已获得%d颗星星，再获得%d颗可获得%s	Đã nhận được %d sao, đạt thêm %d sao có thể nhận được %s
E_STR_GET_GOD_ROLE_LIMIT_ONE	活动%d天内将%s升级到%d级(%s)	Trong %d ngày tăng %s đến cấp %d(%s)
E_STR_GET_GOD_ROLE_LIMIT_TWO	活动%d天内将%s进阶到%d级兵种(%s)	Trong %d ngày tiến cấp %s đến cấp %d(%s)
E_STR_NOT_OPEN_GOD_ROLE	还未开启	Vẫn chưa mở
E_STR_FINISH_GOD_ROLE	即将达成	Sắp nhận được
E_STR_GET_CASH	领取元宝	Nhận KNB 
E_STR_GET_GOD_ROLE_FALIUE	已过期	Đã quá hạn
E_STR_AFTER_GET_GOD_ROLE_OPEN	获得%s后开启	Nhận được %s mở
E_STR_ROLE_LEVEL_NOT	武将等级还未达到%d级	Cấp Võ Tướng vẫn chưa đạt đến cấp %d
E_STR_SOLDIER_LEVEL_NOT	兵种等级还未到达%d级	Cấp binh chủng vẫn chưa đạt đến cấp %d
E_STR_CHALLENGE_TOWER_DESC	挑战重楼	Khiêu chiến Trọng Lâu
E_STR_GETAWARD_OVERTIME	领奖时间已过	Đã quá thời gian nhận
LS_IMMEDIATE_GOT_CASH	立获%d元宝	Nhận ngay %d KNB 
LS_CONTINUOUS_DAYS_CASH	连续%d天	Liên tục %d ngày
LS_RMB_MONTH_CARD_BUY	￥%d	%d VND
LS_CLAIM_REWARD	领取奖励	Nhận
LS_MONTH_CARD_NAME	月卡	Thẻ tháng
LS_VIP_ALREADY_MAX	VIP等级已达到最高	Cấp VIP đã đạt cao nhất
LS_MONTH_DAILY_ALREADY_ERROR	今日月卡奖励已领取！	Đã nhận phần thưởng thẻ tháng hôm nay !
LS_MONTH_CARD_BOUGHT_DONE	月卡购买成功！	Mua thẻ tháng thành công !
LS_MONTH_CARD_BOUGHT_ERROR	月卡购买失败，请与客服联系	Mua thẻ tháng thất bại, hãy liên hệ DVCSKH
LS_MONTH_DAILY_CLAIM_DONE	领取月卡奖励成功！	Nhận phần thưởng thẻ tháng thành công !
LS_MONTH_DAILY_CLAIM_ERROR	领取月卡奖励失败，请与客服	Nhận phần thưởng thẻ tháng thất bại, hãy liên hệ DVCSKH
LS_MONTH_DAYS_LEFT	月卡剩余%d天	Thẻ tháng còn lại %d ngày
E_STR_ARENA_NO_BUY_AND_VIP	您额外挑战次数为0，提升VIP等级可获得额外挑战次数。	Số lần khiêu chiến thêm của ngươi là 0, tăng cấp VIP có thể nhận thêm số lần khiêu chiến 
E_STR_ARENA_NO_BUY_COUNT	今日挑战次数已用完，请明日再来。	Đã dùng hết số lần khiêu chiến hôm nay, mời ngày mai quay lại.
E_STR_RESETTOWER_FREE_DESC	本次重置免费，重置后返回第一层（剩余免费重置：%d次）	Lần làm mới này miễn phí, sau khi làm mới quay lại tầng 1 (miễn phí làm mới còn lại: %d lần)
E_STR_NO_EXTR_RESETTIMES_DESC	您额外重置次数为0，提升VIP等级可获得额外重置次数。	Số lần làm mới thêm của ngươi là 0, tăng cấp VIP có thể nhận thêm số lần làm mới. 
E_STR_RESETTOWER_CASH_DESC	本次重置将花费%d元宝，重置后返回第一层（剩余额外重置：%d次）	Lần làm mới này dùng %d KNB, sau khi làm mới quay lại tầng 1 (làm mới thêm còn lại : %d lần)
E_STR_NO_RESETTIMES_TODAY_DESC	今日额外重置次数已用完，请明日再来。	Đã dùng hết số lần làm mới thêm hôm nay, mời ngày mai quay lại.
LS_CHARGE_MORE	再充值%d元宝即可成为	Nạp thêm %d KNB trở thành
LS_PICKUP_DAILY	每日领取%d元宝	Mỗi ngày nhận %d KNB
LS_PICKUP_DAILY2	每日%d元宝	Mỗi ngày %d KNB 
LS_PICKUP_INALL	总计领取%d元宝	Tổng nhận %d KNB
LS_CASH_NUM	%d元宝	%d KNB
LS_RMB_NUM	%d元	%d VND
LS_MONTH_CARD_CLICK_CLAIM	点击领取奖励	Ấn để nhận
LS_MONTH_CARD_PRICE_FMT	超级月卡%d元	Thẻ tháng siêu cấp %d VND
E_STR_DAY_NUM	%d天	%d ngày
E_STR_LOGIN_SUCC	登录成功，请重新启动游戏	Đăng nhập thành công, hãy khởi động lại trò chơi
E_STR_LOGIN_FAIL	登录失败，请重新启动游戏	Đăng nhập thất bại, hãy khởi động lại trò chơi
E_STR_GOD_ROLE_ING	进行中	Đang tiến hành
E_STR_GOD_ROLE_OVER	已完成	Đã hoàn thành
E_STR_TEMPLE_NO_REFRESH	保护时间内不可刷新	Trong thời gian bảo vệ không được làm mới
E_STR_SERVER_DOWN	(维护)	(Bảo vệ)
E_STR_ACCOUNT_ERROR_USER_NOT_EXISTS	用户名不存在	Tên đăng nhập không tồn tại
E_STR_ACCOUNT_ERROR_WRONG_PASSWD	用户名或密码错误	Sai tên đăng nhập hoặc mật khẩu
E_STR_ACCOUNT_ERROR_USER_ALREADY_EXISTS	该用户名已经存在	Tên đăng nhập này đã tồn tại
E_STR_ACCOUNT_ERROR_PASSWORD_NOT_MATCH	两次输入的密码不一致	Hai lần nhập mật khẩu không giống nhau
E_STR_ACCOUNT_ERROR_INPUT_NAME_OR_PASS	请输入完整的账户信息	Hãy nhập hoàn chỉnh thông tin tài khoản
E_STR_EXSOUL_HASRED_PROMPT	当前炼魂有彩将卡，是否确认炼魂？	Hiện tại luyện hồn có thẻ Thần Tướng, đồng ý luyện hồn?
E_STR_ACCOUNT_OPTIONAL	可选	Có thể chọn
E_STR_ACCOUNT_INVALID_USERNAME	请输入正确的用户名(格式为中文、英文和数字的组合，长度3~16)	Hãy nhập chính xác tên đăng nhập (bao gồm chữ và số , độ dài 3~16)
E_STR_ACCOUNT_INVALID_EMAIL	请输入合法的邮箱格式	Hãy nhập email chính xác
E_STR_ACCOUNT_SEND_PASS_EMAIL	验证信息已发送您的密保邮箱，请注意查收	Thông tin xác nhận đã được gửi đến email của ngươi, chú ý kiểm tra email )
E_STR_ACCOUNT_ERROR_INPUT_USERNAME	请输入用户名	Hãy nhập tên đăng nhập
E_STR_ACCOUNT_SURE_TO_BONDING_GUEST_ACCOUNT	确定要绑定游客账号吗？	Đồng ý xác nhập tài khoản du khách?
E_STR_RELOGIN	服务器列表获取失败，请重新登录	Danh sách máy chủ thất bại, hãy đăng nhập lại
E_STR_ZHU_DONG_JI_NENG	主动技能	Chủ động 
E_STR_BEI_DONG_JI_NENG	被动技能	Bị động 
E_STR_RESET_SUCCEESS	重置成功	Làm mới thành công
E_STR_ACCOUNT_BONDING_SUCCESS	绑定账号成功！	Xác nhập tài khoản thành công !
E_STR_ACCOUNT_REGISTER_TITLE_REG	注册账号	Đăng ký
E_STR_ACCOUNT_REGISTER_TITLE_BOND	绑定账号	Xác nhập tài khoản
E_STR_WHEEL_AWARD_REMIND	领奖则结束当前轮,是否确定？	Nhận thưởng sẽ kết thúc hồi trước đó, đồng ý ?
E_STR_CONFIRM_AWARD	确定领奖	OK
E_STR_CONTINUE_TURN	继续转动	Tiếp tục
E_STR_LOOK_POSITION	查看阵型	Trận hình
E_STR_LOOK_BOX	查看宝箱	Bảo Rương
E_STR_KILLTWO_FINISH	今日已通关，请明日再来！	Hôm nay đã thông quan, mời ngày mai quay lại nhé !
E_STR_NEW_SIGN_VIP_DOUBLE	V%d双倍	V%d x2
E_STR_TODAY_SIGN	今日签到	Điểm danh
E_STR_VIP_GOT	补领	Nhận bổ sung
E_STR_GAIN_GOLD_DESC	获得%d金币	Nhận được %d Vàng 
E_STR_GAIN_CASH_DESC	获得%d元宝	Nhận được %d KNB
E_STR_GAIN_HONOR_DESC	获得%d军功	Nhận được %d Quân Công 
E_STR_GAIN_FOOD_DESC	获得%d粮食	Nhận được %d Lúa 
E_STR_GAIN_SOUL_DESC	获得%d将魂	Nhận được %d Tướng Hồn
E_STR_ACTIVATION	已激活	Đã kích hoạt
E_STR_INACTIVE	未激活	Chưa kích hoạt
E_STR_COUNTDAY_DESC	%s天	%s ngày
E_STR_EXTRAGET_DESC	额外获得%s	Nhận được thêm %s
E_STR_GETAWARD_DESC	领取%s	Nhận %s
E_STR_ACTIVITY_TIEM_DESC	活动时间：%d月%d日-%d月%d日	Thời gian sự kiện: ngày %d tháng %d - ngày %d tháng %d
E_STR_ACTIVITY_TIMEOUT_DESC	抱歉，活动已结束！	Tiếc quá, sự kiện đã kết thúc !
E_STR_GOTO_PAY	前往充值	Nạp ngay
E_STR_PRAY_TOTAL_AWARD	本次祈福共获得如下奖励	Cần Phúc lần này nhận được
E_STR_DIVINITY_EMBATTLING_DONE	美人出战成功	Mỹ nhân xuất chiến thành công
E_STR_DIVINITY_RECALL_DONE	美人召回成功	Mỹ nhân triệu hồi thành công
LEIGON_MY_HONOR_DESC	个人贡献	Cống Hiến
LEIGON_EXP_DESC	军团经验	Exp Quân Đoàn  
LEIGON_GAIN_MY_HONOR_DESC	获得%d个人贡献	Nhận được %d Cống Hiến
LEIGON_GAIN_EXP_DESC	获得%d军团经验	Nhận được %d Exp Quân Đoàn 
E_STR_REFRSH_COST_INTERGAL	刷新消耗积分: %d	Làm mới cần: %d điểm
E_STR_OPEN_COST_INTERGAL	抽牌消耗积分: %d	Rút bài cần: %d điểm
E_STR_TURN_CARD_NUM_ARRIVE_MAX	翻牌次数已达上限	Số lần lật bài đã đạt giới hạn
E_STR_LUCKY_CARD_ORIGINAL_JF_TEXT	每轮结束重置刷新和翻牌消耗	Kết thúc mỗi hồi tái thiết lập làm mới và lật bài tiêu hao
E_STR_LUCKY_CARD_CONTINUE_TURN	继续翻牌	Tiếp tục
E_STR_GAIN	获取	Tìm
E_DIVINITY_OPEN_TEXT	通关“%s”开启	Thông quan “%s” mở
E_STR_HAVE_EMAIL	已绑定邮箱	Đã xác nhập email
E_STR_SKILL_NO_OPEN	尚未开启	Chưa mở
E_SDK_LOGIN_FAILED	登录失败，请重新登录！	Đăng nhập thất bại, hãy đăng nhập lại !
E_STR_CONGRATULATION_GET_BEAUTY	恭喜成功解救%s！	Chúc mừng thành công giải cứu %s !
E_STR_EXPERIENCE_MAGIC	谋略	Mưu Lược 
E_STR_BUY_GOLD_LIMIT	君主等级%d级可购买金币	Quân Chủ cấp %d có thể mua Vàng 
E_ONERIDE_FINISH_NOTICE_DESC	已通过所有关卡，请重置后继续挑战！	Đã thông qua tất cả quan ải, hãy làm mới rồi tiếp tục khiêu chiến !
E_STR_ONERIDE_RESET_DESC	使用%d元宝重置后返回第一关卡！（剩余重置次数：%d次）	Sử dụng %d KNB làm mới xong quay lại quan ải 1! (số lần làm mới còn lại: %d lần)
E_STR_BOSS_SKIP_INFO	打BOSS呢，没法跳过，认真点	Đánh BOSS, không bỏ qua được đâu, tập trung đi 
E_STR_PVP_SKIP_INFO	马上就要决出胜负了，别猴急	Lập tức xác nhận được thắng bại thôi, đừng nôn nóng
E_STR_PVE_SKIP_INFO	对手马上就嗝屁了，君主大人请稍等片刻	Đối thủ sắp phải sợ lắm rồi, mời Quân Chủ đại nhân chờ trong giây lát
E_PASS_WORD_ERR	请看一下您是否修改了系统时间	Hãy xem thử có phải ngươi đã sửa đổi hệ thống thời gian ?
E_ENTER_VALID_EMAIL	请输入正确的邮箱	Hãy nhập chính xác email
E_STR_WORLD_BOSS_START_DESC	开战倒计时：	Cách khai chiến còn:
E_STR_WORLD_BOSS_WARING_DESC	结束倒计时：	Kết thúc còn:
E_STR_WORLD_BOSS_DRAGON_BALL_BUY	是否花费%s元宝购买一颗龙珠?	Đồng ý dùng %s KNB mua 1 viên Long Châu?
E_STR_HURT_REACH_VALUE	伤害达到%s万	Sát thương đạt đến %s vạn
E_STR_WORLDBOSS_WARING	Boss战进行中...	Đang tiến hành chiến BOSS
E_STR_CLEAR_REWARD_CD_DESC	奖励清空倒计时：	Xóa phần thưởng còn:
E_STR_COST_CASH_INSPIRE_MORALE	是否花费%s元宝增加%s攻击力?	Đồng ý dùng %s KNB tăng %s lực công kích ?
E_STR_COST_GOLD_INSPIRE_MORALE	是否花费%s金币增加%s攻击力?	Đồng ý dùng %s Vàng tăng %s lực công kích ?
E_STR_INSPIRE_MAX_LIMIT	鼓舞已达上限！	Cổ vũ đã đạt giới hạn
E_STR_NO_PERSON_ON_RANK	暂无排名	Chưa có xếp hạng
E_STR_FINAL_KILL_BOSS_NAME	绝杀者：%s	Kẻ giết Boss: %s
E_STR_FINAL_KILL_BOSS_GAIN	最后将BOSS击杀者可获得	Người sau cùng giết chết BOSS được nhận
E_STR_SUCCESS_INSPIRE	鼓舞成功！	Cổ vũ thành công !
E_STR_WORLD_BOSS_KILLED	世界BOSS已被击杀！	BOSS đã bị giết ! 
E_STR_WORLD_BOSS_END	世界BOSS活动已结束！	Sự kiện BOSS đã kết thúc !
E_STR_WORLD_BOSS_HURT	<font color='#009CFF'>本次对BOSS造成</font><font color='#FF0000'>%d</font><font color='#009CFF'>伤害</font>   	<font color='#009CFF'>Lần này gây</font> <font color='#FF0000'>%d</font> <font color='#009CFF'>sát thương</font> cho BOSS             
E_STR_WORLD_BOSS_AUTOEND	自动挂机已结束	Treo máy đã kết thúc
E_STR_CLICK_BOX_LOOK_INFO	点击宝箱查看奖励	Ấn vào Bảo Rương xem phần thưởng
E_STR_LAST_WORLDBOSS_RANK	上轮您的排名：%s	Hạng trước đó: %s
E_STR_WORLD_BOSS_REVIVE	是否花费%s元宝重生，重生后可立即开始挑战。	Đồng ý dùng %s KNB trùng sinh, sau khi trùng sinh có thể bắt đầu khiêu chiến ngay.
E_STR_JOIN_REWARD	参战奖励	Phần thưởng tham chiến
E_STR_KILL_REWARD	绝杀奖励	Phần thưởng tuyệt sát
E_STR_DRAGONBALL_REWARD	龙珠宝箱奖励	Long Châu Bảo Rương 
E_STR_HURT_REWARD	累计伤害奖励	Phần thưởng 
E_STR_ONERIDE_RESET_OVER	今日重置次数已用完，提升VIP等级可增加重置次数。	Đã dùng hết số lần làm mới hôm nay, tăng cấp VIP có thể tăng số lần
E_STR_MOPUP_MAX_LIMIT	（上限%d次）	(Tối đa %d lần)
E_STR_RESET_ONERIDE_FREE_DESC	本次重置免费，重置后返回第一关卡（剩余免费重置：%d次）	Lần làm mới này miễn phí, sau khi làm mới quay lại quan ải 1 (miễn phí làm mới còn lại: %d lần)
E_STR_EXCHANGE_ROLE_DESC	使用该卡可以召唤%s	Sử dụng thẻ này có thể triệu hồi %s
E_STR_ACTIVITY_END_DESC	本次活动已结束，敬请期待下次活动。	Sự kiền lần này đã kết thúc, hãy đợi sự kiện lần sau nhé
E_STR_ACTIVITY_END_AND_GET_REWARD_DESC	奖励已领取，敬请期待下次活动！	Sự kiện lần này đã kết thúc, lần sau quay lại nhé !
E_STR_EXTRA_GAIN_BALL_DESC	额外获得%d颗%d星龙珠！	Nhận được thêm %d viên %d Long Châu !
LEGION_NAME_EMPTY	军团名称不能为空！	Tên Quân Đoàn không được để trống !
LEGION_NAME_TOO_LONG	军团名称不能超过%d个字！	Tên Quân Đoàn không được vượt quá %d chữ !
LEGION_NAME_RULE	军团名称只能为汉字，字母或数字！	Tên Quân Đoàn chỉ có thể là chữ cái hoặc số !
LEGION_DESC_TOO_LONG	军团公告不能超过%d个字！	Quân Đoàn thông báo không được vượt quá %d chữ !
LEGION_DESC_RULE	军团公告含有非法字符！	Quân Đoàn thông báo có chứa ký tự đặc biệt
LEGION_CREATE_SUCCESS	创建成功！	Tạo mới thành công !
LEGION_CAN_NOT_JOIN_QUIT_RECENTLY	退出军团%d小时内无法加入军团！	Rời khỏi Quân Đoàn trong %d giờ sẽ không thể vào Quân Đoàn nữa !
LEGION_NEED_MONARCH_LEVEL	需要君主等级%d	Cần Quân chủ cấp %d
LEGION_APPLY_JOIN	申请加入	Xin phép tham gia
LEGION_CANCEL_JOIN	取消申请	Hủy xin phép
LEGION_DEPUTYCOMMANDER_MAX_COUNT	副军团长已达到最大人数%d！	Quân Đoàn phó đã đạt số người cao nhất là %d !
LEGION_CONFIRM_PROMOTION_DEPUTYCOMMANDER	您确认要提升%s为副军团长吗？	Bạn chắc chắn muốn tăng cấp %s thành Quân Đoàn phó?
LEGION_CONFIRM_DEMOTION_DEPUTYCOMMANDER	您确认要罢免%s的副军团长职位吗？	Bạn chắc chắn muốn bãi nhiệm Quân Đoàn phó %s?
LEGION_PROMOTION_DEPUTYCOMMANDER	您任命了%s为副军团长。	Bạn đã duyệt %s thành Quân Đoàn phó 
LEGION_DEMOTION_DEPUTYCOMMANDER	您罢免了%s的副军团长职位。	Bạn đã bãi nhiệm Quân Đoàn phó %s
LEGION_CONFIRM_PROMOTION_COMMANDER	您确定要將军团长的职位托付给%s吗？	Bạn chắc chắn ủy nhiệm chức vị Quân Đoàn trưởng lại cho %s chứ ?
LEGION_CONFIRM_MEMBER_WILL_KICKED	扣除%d点军团经验并将%s移出军团，是否确定？	Khấu trừ %d điểm Exp Quân Đoàn và đá %s khỏi Quân Đoàn, đồng ý ?
LEGION_MEMBER_KICKED	%s被移出军团	%s bị đá khỏi Quân Đoàn 
LEGION_PROMOTION	提升职务	Bổ nhiệm
LEGION_DEMOTION	罢免职务	Bãi miễn
E_STR_LEGION_DONATE_GOLD	每次可捐献%s金币，今日剩余捐献次数：	Hôm nay có thể quyên góp %s Vàng, số lần quyên góp hôm nay còn:
E_STR_LEGION_DONATE_DESC	军团捐献	Quân Đoàn quyên góp 
E_STR_DONATE	捐献	Quyên góp
E_STR_LEGION_EXCHANGE_DESC	军团兑换	Tiệm Quân Đoàn
E_STR_LEGION_EXIT_DESC	军团长禅让职位后方可退出	Sau khi Quân Đoàn trưởng nhường vị có thể thoát
E_STR_LEGION_DISMISS_DESC	退出后将解散军团，确认退出?	Sau khi thoát sẽ giải tán Quân Đoàn, thoát ?
E_STR_LEGION_EXIT_TIME_PROMPT	退出军团24小时内不能再次加入军团，确认退出？	Thoát Quân Đoàn trong 24 giờ không thể vào lại Quân Đoàn, thoát ?
E_STR_LEGION_SETTING_SUCCESS_DESC	设置成功	Cài đặt thành công
E_STR_LEGION_ACTIVITY_OPEN	军团 %d 级开启	Quân Đoàn cấp %d mở 
E_STR_LEGION_ACTIVITY_TIMES	今日剩余次数：%d/%d	Hôm nay còn: %d/%d
E_STR_LEGION_ORDER_EXCHANGE_DESC	军团令购买	Mua Quân Đoàn Lệnh 
E_STR_LEGION_PEOPLE_FULL_DESC	军团人数已达上限！	Quân Đoàn Lệnh đã đạt giới hạn !
E_STR_TECH_UPGRADE_ERROR_LEVEL_LIMIT	军团科技不能超过军团等级！请提升军团等级	Khoa Kỹ không thể vượt quá cấp Quân Đoàn! Hãy tăng cấp Quân Đoàn 
E_STR_TECH_UPGRADE_SUCC	军团科技升级成功！	Tăng cấp Khoa Kỹ thành công !
E_STR_TECH_UPGRADE_ERROR_NEED_ORDER	科技令不足	Khoa Kỹ Lệnh không đủ 
LEGION_APPLY_JOIN_FULL	申请列表已满！	Danh sách xin phép đã đầy !
LEGION_CONFIRM_CREATE	是否花费%d元宝创建军团？	Đồng ý dùng %d KNB tạo mới Quân Đoàn?
LEGION_PASS_APPLICATION	通过申请	Duyệt vào Quân Đoàn
LEGION_CHANGE_COMMANDER_SUCCESS	%s从您手中接过了军团长职位。	%s từ trong tay ngươi đã nhậm chức Quân Đoàn trưởng
LEGION_SERVER_DATA_CHANGED	抱歉，后台数据已发生变更，请点击军团重新进入	Xin lỗi, dữ liệu đã cập nhật và làm mới, hãy ấn để vào lại Quân Đoàn 
LEGION_NO_AUTHORITY	抱歉，只有军团长才有此权限！	Xin lỗi, chỉ có Quân Đoàn trưởng mới có quyền hạn này !
LEGION_PRAY_NO_HONOR	军团贡献不足	Cống hiến không đủ 
LEGION_PRAY_NO_TIMES	祈福次数不足	Số lần Cầu Phúc đã hết
LEGION_NAME_REPETITION	军团名称已存在！	Tên Quân Đoàn đã tồn tại !
LEGION_DONATE_SUCCESS_DESC	捐献成功！	Quyên góp thành công !
LEGION_SEARCH_TURN_OVER_PAGE	超过最大页数！	Vượt quá số trang lớn nhất !
LEGION_MOVE_NOT_ENOUGH	行动力不足！	Hoạt lực không đủ
LEGION_ENERGY_NOT_ENOUGH	体力不足！	Thể lực không đủ
LEGION_DONATE_MATERIAL_DESC	捐献金币、科技令可获得军团贡献	Quyên góp Vàng, Khoa Kỹ lệnh nhận được Quân Đoàn cống hiến 
LEGION_OPEN_LEVEL_NOT_REACHED	君主等级%d 级开启	Quân Chủ cấp %d mở 
MONDAY_DESC	周一	Thứ 2
